association,university,school,program_page_url,source_school_url
PROGRAMLIST,Harvard University,Harvard Kennedy School,https://hks.harvard.edu/admissions-aid/masters-program-admissions,https://hks.harvard.edu
PROGRAMLIST,Harvard University,Harvard Kennedy School,https://hks.harvard.edu/admissions-aid/masters-program-admissions/admissions-events,https://hks.harvard.edu
PROGRAMLIST,Harvard University,Harvard Kennedy School,https://hks.harvard.edu/executive-education-program-finder,https://hks.harvard.edu
PROGRAMLIST,Harvard University,Harvard Kennedy School,https://hks.harvard.edu/educational-programs,https://hks.harvard.edu
PROGRAMLIST,Harvard University,Harvard Kennedy School,https://hks.harvard.edu/educational-programs/doctoral-programs,https://hks.harvard.edu
PROGRAMLIST,Harvard University,Harvard Kennedy School,https://hks.harvard.edu/educational-programs/public-leadership-credential,https://hks.harvard.edu
PROGRAMLIST,Harvard University,Harvard Kennedy School,https://hks.harvard.edu/educational-programs/harvard-online-courses-featuring-harvard-kennedy-school-experts,https://hks.harvard.edu
PROGRAMLIST,Harvard University,Harvard Kennedy School,https://hks.harvard.edu/educational-programs/academic-calendars-policies,https://hks.harvard.edu
PROGRAMLIST,Princeton University,SPIA,https://spia.princeton.edu/graduate-programs/master-public-policy,https://spia.princeton.edu
PROGRAMLIST,Princeton University,SPIA,https://spia.princeton.edu/graduate-programs/master-public-affairs,https://spia.princeton.edu
PROGRAMLIST,Princeton University,SPIA,https://spia.princeton.edu/graduate-programs/master-public-affairs/current-students,https://spia.princeton.edu
PROGRAMLIST,Princeton University,SPIA,https://spia.princeton.edu/graduate-programs/master-public-policy/current-students,https://spia.princeton.edu
PROGRAMLIST,Princeton University,SPIA,https://spia.princeton.edu/graduate-programs/joint-degree-program-social-policy,https://spia.princeton.edu
PROGRAMLIST,Princeton University,SPIA,https://spia.princeton.edu/graduate-programs ,https://spia.princeton.edu
PROGRAMLIST,Princeton University,SPIA,https://spia.princeton.edu/graduate-programs,https://spia.princeton.edu
PROGRAMLIST,Princeton University,SPIA,https://spia.princeton.edu/intranet/graduate-programs,https://spia.princeton.edu
PROGRAMLIST,Princeton University,SPIA,https://spia.princeton.edu/undergraduate-program ,https://spia.princeton.edu
PROGRAMLIST,Princeton University,SPIA,https://spia.princeton.edu/undergraduate-program,https://spia.princeton.edu
PROGRAMLIST,University of Southern California,Price School of Public Policy,https://priceschool.usc.edu/on-campus-masters-degree-program-faq/,https://priceschool.usc.edu
PROGRAMLIST,University of Southern California,Price School of Public Policy,https://priceschool.usc.edu/academics/dual-degree/master-of-health-administration-master-of-gerontology/,https://priceschool.usc.edu
PROGRAMLIST,University of Southern California,Price School of Public Policy,https://priceschool.usc.edu/academics/masters/master-of-health-administration-mha/mha-curriculum/mha-program-competencies/,https://priceschool.usc.edu
PROGRAMLIST,University of Southern California,Price School of Public Policy,https://priceschool.usc.edu/academics/masters/master-of-health-administration-mha/mha-curriculum/mha-degree-completion-and-retention-rates/,https://priceschool.usc.edu
PROGRAMLIST,University of Southern California,Price School of Public Policy,https://priceschool.usc.edu/academics/masters/master-of-urban-planning-mup/mup-curriculum/mup-program-learning-objectives/,https://priceschool.usc.edu
PROGRAMLIST,University of Southern California,Price School of Public Policy,https://priceschool.usc.edu/academics/masters/master-of-real-estate-development-mred/mred-curriculum/mred-program-learning-objectives/,https://priceschool.usc.edu
PROGRAMLIST,University of Southern California,Price School of Public Policy,https://priceschool.usc.edu/academics/dual-degree/master-of-public-policy-master-of-urban-planning/,https://priceschool.usc.edu
PROGRAMLIST,University of Southern California,Price School of Public Policy,https://priceschool.usc.edu/academics/dual-degree/master-of-urban-planning-master-of-business-administration/,https://priceschool.usc.edu
PROGRAMLIST,University of Southern California,Price School of Public Policy,https://priceschool.usc.edu/academics/dual-degree/master-of-public-administration-master-of-social-work-mpa-msw/,https://priceschool.usc.edu
PROGRAMLIST,University of Southern California,Price School of Public Policy,https://priceschool.usc.edu/academics/dual-degree/master-of-urban-planning-master-of-public-administration/,https://priceschool.usc.edu
PROGRAMLIST,University of Texas at Austin,LBJ School of Public Affairs,https://lbj.utexas.edu/degree-programs/master-public-affairs,https://lbj.utexas.edu
PROGRAMLIST,University of Texas at Austin,LBJ School of Public Affairs,https://lbj.utexas.edu/master-national-security,https://lbj.utexas.edu
PROGRAMLIST,University of Texas at Austin,LBJ School of Public Affairs,https://lbj.utexas.edu/executive-master-public-leadership,https://lbj.utexas.edu
PROGRAMLIST,University of Texas at Austin,LBJ School of Public Affairs,https://lbj.utexas.edu/master-global-policy-studies,https://lbj.utexas.edu
PROGRAMLIST,University of Texas at Austin,LBJ School of Public Affairs,https://lbj.utexas.edu/frequently-asked-questions-graduate-programs,https://lbj.utexas.edu
PROGRAMLIST,University of Texas at Austin,LBJ School of Public Affairs,https://lbj.utexas.edu/master-public-affairs,https://lbj.utexas.edu
PROGRAMLIST,University of Texas at Austin,LBJ School of Public Affairs,https://lbj.utexas.edu/degree-programs,https://lbj.utexas.edu
PROGRAMLIST,University of Texas at Austin,LBJ School of Public Affairs,https://lbj.utexas.edu/degree-programs/bachelor-public-affairs,https://lbj.utexas.edu
PROGRAMLIST,University of Texas at Austin,LBJ School of Public Affairs,https://lbj.utexas.edu#main-content,https://lbj.utexas.edu
PROGRAMLIST,University of Texas at Austin,LBJ School of Public Affairs,https://lbj.utexas.edu/alumni,https://lbj.utexas.edu
